CNIC,Name,Age,Sector,Street,HouseNo,Occupation
61101-3963422-0,Zara Shah,39,I-10,24,96,Teacher
61101-9794326-1,Ahmed Shah,69,E-7,33,124,Teacher
61101-6927364-2,Usman Khan,20,F-7,10,34,Teacher
61101-9233076-3,Ayesha Shah,29,G-7,37,70,Business
61101-9977000-4,Bilal Khan,64,H-8,30,137,Doctor
61101-4473693-5,Usman Raza,49,I-8,39,47,Student
61101-1323362-6,Ahmed Bhatti,32,E-8,4,179,Doctor
61101-1772666-7,Sara Shah,26,F-8,30,192,Business
61101-3224734-8,Bilal Raza,44,G-8,46,147,Business
61101-6309403-9,Ayesha Khan,20,H-8,43,30,Student
61101-2679237-0,Usman Shah,26,I-8,14,40,Engineer
61101-6229766-1,Usman Khan,62,E-9,12,176,Business
61101-6923497-2,Bilal Bhatti,24,F-9,27,109,Business
61101-9904297-3,Ali Shah,60,G-9,30,97,Student
61101-1402264-4,Zara Bhatti,49,H-9,46,143,Doctor
61101-2092309-5,Ahmed Raza,26,I-9,33,143,Teacher
61101-9034299-6,Ahmed Khan,38,E-10,13,29,Teacher
61101-2660472-7,Bilal Raza,60,F-10,37,133,Business
61101-7009404-8,Ali Khan,18,G-10,23,60,Business
61101-4929424-9,Bilal Shah,18,H-10,16,107,Business
61101-3323063-0,Ahmed Raza,60,I-10,23,132,Teacher
61101-4402636-1,Zara Shah,66,E-11,2,99,Business
61101-9449339-2,Ahmed Shah,20,F-11,3,109,Engineer
61101-9723000-3,Bilal Bhatti,64,G-11,42,179,Business
61101-3720760-4,Usman Bhatti,37,H-11,30,23,Student
61101-9304323-5,Ayesha Khan,37,I-11,10,107,Student
61101-9233633-6,Zara Malik,69,E-10,4,43,Teacher
61101-7707436-7,Zara Malik,49,F-10,4,47,Business
61101-1372670-8,Zara Shah,44,G-9,42,109,Engineer
61101-3444474-9,Bilal Malik,26,H-12,30,130,Engineer
61101-9476722-0,Ahmed Bhatti,34,I-12,23,137,Business
61101-2007796-1,Sara Bhatti,67,E-7,44,142,Business
61101-7292272-2,Usman Khan,39,F-7,49,194,Engineer
61101-4796336-3,Ahmed Bhatti,33,G-6,47,60,Teacher
61101-7440337-4,Zara Khan,23,H-8,16,66,Doctor
61101-6380674-5,Ahmed Malik,49,I-8,2,143,Teacher
61101-3290606-6,Ali Malik,64,E-8,44,67,Engineer
61101-2993096-7,Sara Shah,24,F-6,3,130,Doctor
61101-9036979-8,Usman Khan,62,G-6,14,37,Business
61101-4473693-9,Ayesha Shah,24,H-9,32,192,Doctor
61101-4997096-0,Zara Khan,62,I-9,22,60,Doctor
61101-6022204-1,Zara Shah,32,E-7,3,132,Teacher
61101-2603463-2,Zara Khan,20,F-7,10,126,Student
61101-4099403-3,Sara Malik,49,G-7,37,29,Engineer
61101-7994437-4,Sara Malik,44,H-10,3,79,Business
61101-6309403-5,Usman Bhatti,29,I-10,37,30,Engineer
61101-9233076-6,Ahmed Shah,69,E-8,4,136,Doctor
61101-4470372-7,Ahmed Raza,33,F-8,24,196,Business
61101-2402492-8,Zara Khan,64,G-8,24,96,Business
61101-4402636-9,Ali Shah,60,H-8,44,178,Engineer
61101-3323063-0,Zara Khan,20,I-8,14,66,Doctor
